UNIXTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,MonthOfYear,DayOfYear,WeekOfYear,TimeOfDay(h),TimeOfDay(m),TimeOfDay(s),DayLength(s)
1475229326,1.21,48,30.46,59,177.39,5.62,9,273,39,23,1435,86126,43200
1475229023,1.21,48,30.46,58,176.78,3.37,9,273,39,23,1430,85823,43200
1475228726,1.23,48,30.46,57,158.75,3.37,9,273,39,23,1425,85526,43200
1475228421,1.21,48,30.46,60,137.71,3.37,9,273,39,23,1420,85221,43200
1475228124,1.17,48,30.46,62,104.95,5.62,9,273,39,23,1415,84924,43200
1475227824,1.21,48,30.46,64,120.2,5.62,9,273,39,23,1410,84624,43200
1475227519,1.2,49,30.46,72,112.45,6.75,9,273,39,23,1405,84319,43200
1475227222,1.24,49,30.46,71,122.97,5.62,9,273,39,23,1400,84022,43200
1475226922,1.23,49,30.46,80,101.18,4.5,9,273,39,23,1395,83722,43200
1475226622,1.21,49,30.46,85,141.87,4.5,9,273,39,23,1390,83422,43200
1475226323,1.23,49,30.47,93,120.55,2.25,9,273,39,23,1385,83123,43200
1475226025,1.21,49,30.47,98,144.19,3.37,9,273,39,23,1380,82825,43200
1475225720,1.22,49,30.47,99,139.8,6.75,9,273,39,22,1375,82520,43200
1475225419,1.21,50,30.47,99,140.92,2.25,9,273,39,22,1370,82219,43200
1475225131,1.23,50,30.47,99,147.61,5.62,9,273,39,22,1365,81931,43200
1475224823,1.22,50,30.47,99,113.78,4.5,9,273,39,22,1360,81623,43200
1475224519,1.21,50,30.47,99,123.03,10.12,9,273,39,22,1355,81319,43200
1475224222,1.22,50,30.47,99,173.73,6.75,9,273,39,22,1350,81022,43200
1475223919,1.22,50,30.47,98,91.43,6.75,9,273,39,22,1345,80719,43200
1475223622,1.2,50,30.47,98,109.74,6.75,9,273,39,22,1340,80422,43200
1475223322,1.2,50,30.47,98,143.53,2.25,9,273,39,22,1335,80122,43200
1475223021,1.2,50,30.47,97,146.76,5.62,9,273,39,22,1330,79821,43200
1475222720,1.21,50,30.47,97,158.35,4.5,9,273,39,22,1325,79520,43200
1475222426,1.22,50,30.47,97,166.05,5.62,9,273,39,22,1320,79226,43200
1475222120,1.22,50,30.47,96,151.82,5.62,9,273,39,21,1315,78920,43200
1475221832,1.22,50,30.47,96,152.52,6.75,9,273,39,21,1310,78632,43200
1475221528,1.24,50,30.47,95,127.82,7.87,9,273,39,21,1305,78328,43200
1475221220,1.23,50,30.47,95,157.58,6.75,9,273,39,21,1300,78020,43200
1475220921,1.23,50,30.47,95,172.96,7.87,9,273,39,21,1295,77721,43200
1475220621,1.23,50,30.47,95,143.82,6.75,9,273,39,21,1290,77421,43200
1475220322,1.24,50,30.47,94,154.03,5.62,9,273,39,21,1285,77122,43200
1475220021,1.2,50,30.47,93,165.93,4.5,9,273,39,21,1280,76821,43200
1475219723,1.24,50,30.47,93,139.82,7.87,9,273,39,21,1275,76523,43200
1475219420,1.21,49,30.47,93,166.07,9.0,9,273,39,21,1270,76220,43200
1475219126,1.24,50,30.47,93,116.16,5.62,9,273,39,21,1265,75926,43200
1475218820,1.2,50,30.47,92,157.48,4.5,9,273,39,21,1260,75620,43200
1475218518,1.19,50,30.47,91,112.27,7.87,9,273,39,20,1255,75318,43200
1475218220,1.25,50,30.47,90,133.69,6.75,9,273,39,20,1250,75020,43200
1475217924,1.25,50,30.47,88,140.64,6.75,9,273,39,20,1245,74724,43200
1475217619,1.23,50,30.47,87,52.89,1.12,9,273,39,20,1240,74419,43200
1475217319,1.21,50,30.47,86,132.66,4.5,9,273,39,20,1235,74119,43200
1475217018,1.25,50,30.46,85,138.35,5.62,9,273,39,20,1230,73818,43200
1475216720,1.23,50,30.46,84,109.87,3.37,9,273,39,20,1225,73520,43200
1475216423,1.23,50,30.47,81,123.25,3.37,9,273,39,20,1220,73223,43200
1475216120,1.26,50,30.46,75,158.64,4.5,9,273,39,20,1215,72920,43200
1475215822,1.17,50,30.46,70,165.22,5.62,9,273,39,20,1210,72622,43200
1475215522,1.22,50,30.46,63,160.51,3.37,9,273,39,20,1205,72322,43200
1475215218,1.22,50,30.46,51,155.36,4.5,9,273,39,20,1200,72018,43200
1475214923,1.22,50,30.46,47,157.78,6.75,9,273,39,19,1195,71723,43200
1475214622,1.24,50,30.46,46,151.6,3.37,9,273,39,19,1190,71422,43200
1475214325,1.25,50,30.46,47,105.78,4.5,9,273,39,19,1185,71125,43200
1475214022,1.19,50,30.46,48,135.55,4.5,9,273,39,19,1180,70822,43200
1475213722,1.19,50,30.46,56,140.92,4.5,9,273,39,19,1175,70522,43200
1475213420,1.23,50,30.46,57,165.0,4.5,9,273,39,19,1170,70220,43200
1475213121,1.19,51,30.46,55,126.63,3.37,9,273,39,19,1165,69921,43200
1475212820,1.23,51,30.46,54,119.97,4.5,9,273,39,19,1160,69620,43200
1475212522,1.22,51,30.45,53,95.57,2.25,9,273,39,19,1155,69322,43200
1475212224,1.24,51,30.45,51,100.02,4.5,9,273,39,19,1150,69024,43200
1475211920,1.24,51,30.45,51,111.73,2.25,9,273,39,19,1145,68720,43200
1475211624,1.23,51,30.45,52,145.77,5.62,9,273,39,19,1140,68424,43200
1475211319,1.23,51,30.45,51,105.89,6.75,9,273,39,18,1135,68119,43200
1475211024,1.24,51,30.45,52,120.86,5.62,9,273,39,18,1130,67824,43200
1475210719,1.23,51,30.44,55,170.11,5.62,9,273,39,18,1125,67519,43200
1475210421,1.21,52,30.44,55,107.15,5.62,9,273,39,18,1120,67221,43200
1475210121,1.24,52,30.44,55,129.29,6.75,9,273,39,18,1115,66921,43200
1475209823,1.18,52,30.45,59,158.73,3.37,9,273,39,18,1110,66623,43200
1475209519,1.52,52,30.44,59,211.38,2.25,9,273,39,18,1105,66319,43200
1475209223,5.07,53,30.44,61,174.97,4.5,9,273,39,18,1100,66023,43200
1475208921,6.16,53,30.44,62,120.78,7.87,9,273,39,18,1095,65721,43200
1475208652,6.63,53,30.44,59,118.82,5.62,9,273,39,18,1090,65452,43200
1475208322,10.96,54,30.44,59,154.16,4.5,9,273,39,18,1085,65122,43200
1475208022,19.42,55,30.44,57,58.42,6.75,9,273,39,18,1080,64822,43200
1475207722,27.14,55,30.44,53,47.86,4.5,9,273,39,17,1075,64522,43200
1475207419,33.75,56,30.44,52,74.56,2.25,9,273,39,17,1070,64219,43200
1475207122,49.57,56,30.44,49,25.72,6.75,9,273,39,17,1065,63922,43200
1475206822,59.62,56,30.44,50,102.11,2.25,9,273,39,17,1060,63622,43200
1475206538,87.23,56,30.44,48,67.49,3.37,9,273,39,17,1055,63338,43200
1475206225,109.93,56,30.43,49,180.29,2.25,9,273,39,17,1050,63025,43200
1475205925,130.82,57,30.43,57,150.2,2.25,9,273,39,17,1045,62725,43200
1475205625,160.52,57,30.43,55,47.3,5.62,9,273,39,17,1040,62425,43200
1475205320,191.37,58,30.43,52,333.81,1.12,9,273,39,17,1035,62120,43200
1475205020,207.05,58,30.43,49,41.62,4.5,9,273,39,17,1030,61820,43200
1475204722,240.99,58,30.43,45,132.36,5.62,9,273,39,17,1025,61522,43200
1475204424,274.83,58,30.43,41,332.09,4.5,9,273,39,17,1020,61224,43200
1475204125,300.94,58,30.43,55,45.88,3.37,9,273,39,16,1015,60925,43200
1475203822,322.71,58,30.43,56,94.24,7.87,9,273,39,16,1010,60622,43200
1475203538,346.59,58,30.43,50,81.57,6.75,9,273,39,16,1005,60338,43200
1475203220,364.18,58,30.43,49,351.03,7.87,9,273,39,16,1000,60020,43200
1475202941,368.35,58,30.43,51,78.81,5.62,9,273,39,16,995,59741,43200
1475202622,362.84,58,30.43,46,85.96,5.62,9,273,39,16,990,59422,43200
1475202321,423.9,59,30.43,48,19.78,4.5,9,273,39,16,985,59121,43200
1475202025,457.69,58,30.43,59,18.26,4.5,9,273,39,16,980,58825,43200
1475201723,511.38,58,30.43,52,69.08,3.37,9,273,39,16,975,58523,43200
1475201422,566.83,58,30.43,52,40.87,4.5,9,273,39,16,970,58222,43200
1475201120,187.96,58,30.43,49,0.13,4.5,9,273,39,16,965,57920,43200
