Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values,MonthOfYear,DayOfYear,WeekOfYear
2174,61.0,51.0,0.0,94,10.5,4.6,40.01,82.6,0.43,0.45,57.7,59.7,62.7,59.9,62.2,57,58,57,55,57,1,1,0
2174,52.0,48.0,1.29,99,13.0,4.9,13.1,27.05,0.36,0.36,56.9,59.2,62.1,59.6,62.2,53,55,55,56,57,1,2,0
2174,59.0,49.0,0.98,99,19.2,5.7,17.74,36.63,0.38,0.39,56.5,59.1,61.9,60.3,62.1,52,54,54,56,57,1,3,0
2174,62.0,44.0,0.29,91,25.2,10.2,51.13,105.6,0.35,0.38,56.5,59.0,62.1,60.1,62.3,53,54,54,56,57,1,4,0
2174,62.0,40.0,0.0,89,11.6,3.5,130.0,268.4,0.29,0.35,55.7,58.9,62.2,60.1,62.3,50,52,52,55,57,1,5,0
2174,67.0,35.0,0.0,87,6.0,1.4,132.92,274.5,0.29,0.36,55.7,58.7,62.1,60.4,62.3,50,51,52,55,57,1,6,1
2174,67.0,39.0,0.0,85,16.2,4.7,120.82,249.5,0.36,0.45,54.3,58.7,62.2,60.2,62.3,51,52,52,55,57,1,7,1
2174,70.0,49.0,0.0,79,17.6,5.8,113.55,234.5,0.43,0.56,51.8,57.8,62.2,60.2,62.6,56,55,55,55,57,1,8,1
2174,53.0,37.0,0.0,58,25.0,8.1,143.72,296.8,0.18,0.32,48.5,54.6,62.0,59.2,62.6,49,52,54,55,57,1,9,1
2174,51.0,32.0,0.0,66,12.4,4.7,141.55,292.3,0.16,0.25,46.2,51.7,59.8,59.4,62.8,45,48,50,55,57,1,10,1
2174,55.0,28.0,0.0,69,9.6,2.3,132.39,273.4,0.18,0.28,45.4,50.7,57.4,59.8,62.6,45,47,48,54,57,1,11,1
2174,54.0,42.0,0.6,89,23.3,5.8,14.88,30.73,0.32,0.35,49.7,53.1,57.0,59.7,62.8,47,48,49,53,57,1,12,1
2174,51.0,42.0,0.0,89,16.8,8.2,29.39,60.69,0.28,0.31,55.4,57.1,60.5,59.6,62.6,48,49,50,53,57,1,13,2
2174,42.0,40.0,0.0,89,13.7,7.0,27.02,55.79,0.23,0.26,55.2,56.9,60.8,59.6,62.6,45,47,48,53,56,1,14,2
2174,43.0,32.0,0.0,88,10.3,3.1,47.62,98.3,0.21,0.24,51.0,56.1,60.3,59.6,62.6,45,46,47,52,56,1,15,2
2174,55.0,29.0,0.0,88,9.4,1.5,142.41,294.1,0.22,0.27,49.1,54.3,60.2,59.8,62.9,44,46,47,52,56,1,16,2
2174,54.0,41.0,0.16,97,11.8,3.6,26.67,55.07,0.34,0.35,52.4,56.1,60.3,59.9,62.4,47,48,48,51,56,1,17,2
2174,58.0,52.0,0.01,97,13.2,3.0,48.31,99.8,0.41,0.42,55.5,57.7,61.5,59.9,63.3,51,51,50,51,55,1,18,2
